original_image_path,frame,district,severity,max_dbz,rain_pixels,rain_level,rain_level_data
cropped_districts_by_frame/north/20260226_190023\frame_002\บางซื่อ.png,2,บางซื่อ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260222_220005\frame_006\หนองแขม.png,6,หนองแขม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260523_060001\frame_002\บางเขน.png,2,บางเขน,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260525_060006\frame_002\พระโขนง.png,2,พระโขนง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260226_230000\frame_005\ป้อมปราบศัตรูพ่าย.png,5,ป้อมปราบศัตรูพ่าย,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260520_230003\frame_006\สวนหลวง.png,6,สวนหลวง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260504_180023\frame_011\ดุสิต.png,11,ดุสิต,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260527_030000\frame_009\ธนบุรี.png,9,ธนบุรี,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260227_160023\frame_006\ลาดพร้าว.png,6,ลาดพร้าว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260504_160022\frame_006\ดุสิต.png,6,ดุสิต,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260510_030023\frame_011\ลาดพร้าว.png,11,ลาดพร้าว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260507_200023\frame_005\ดินแดง.png,5,ดินแดง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260509_000025\frame_003\ราษฎร์บูรณะ.png,3,ราษฎร์บูรณะ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260312_070000\frame_004\สัมพันธวงศ์.png,4,สัมพันธวงศ์,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260520_220002\frame_005\ทวีวัฒนา.png,5,ทวีวัฒนา,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260505_030001\frame_009\สะพานสูง.png,9,สะพานสูง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260505_000001\frame_005\พระโขนง.png,5,พระโขนง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260226_180022\frame_000\ทุ่งครุ.png,0,ทุ่งครุ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260501_150000\frame_009\วัฒนา.png,9,วัฒนา,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260519_220001\frame_001\พระนคร.png,1,พระนคร,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260312_090023\frame_009\ดอนเมือง.png,9,ดอนเมือง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260514_010000\frame_010\ลาดพร้าว.png,10,ลาดพร้าว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260523_060001\frame_008\คันนายาว.png,8,คันนายาว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260520_220002\frame_007\ธนบุรี.png,7,ธนบุรี,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260312_120023\frame_011\ทุ่งครุ.png,11,ทุ่งครุ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260508_180005\frame_007\สาทร.png,7,สาทร,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260314_010024\frame_003\ลาดกระบัง.png,3,ลาดกระบัง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260514_050022\frame_009\ดินแดง.png,9,ดินแดง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260523_030002\frame_001\บางพลัด.png,1,บางพลัด,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260227_000023\frame_011\สัมพันธวงศ์.png,11,สัมพันธวงศ์,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260513_230023\frame_010\คันนายาว.png,10,คันนายาว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260509_010028\frame_000\หนองแขม.png,0,หนองแขม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260508_230023\frame_009\หนองแขม.png,9,หนองแขม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260228_070000\frame_009\ตลิ่งชัน.png,9,ตลิ่งชัน,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260425_190002\frame_006\ทุ่งครุ.png,6,ทุ่งครุ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260505_050024\frame_006\ลาดกระบัง.png,6,ลาดกระบัง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260517_200025\frame_008\คันนายาว.png,8,คันนายาว,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260520_220024\frame_007\ป้อมปราบศัตรูพ่าย.png,7,ป้อมปราบศัตรูพ่าย,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260508_230023\frame_008\หนองแขม.png,8,หนองแขม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260508_200025\frame_007\บางนา.png,7,บางนา,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260430_130000\frame_001\ดินแดง.png,1,ดินแดง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260505_040026\frame_005\บางกอกน้อย.png,5,บางกอกน้อย,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260520_230003\frame_001\วังทองหลาง.png,1,วังทองหลาง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260504_160022\frame_004\ประเวศ.png,4,ประเวศ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260312_080023\frame_008\พระนคร.png,8,พระนคร,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260504_170000\frame_000\สัมพันธวงศ์.png,0,สัมพันธวงศ์,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260501_150000\frame_008\วัฒนา.png,8,วัฒนา,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260226_190023\frame_009\จตุจักร.png,9,จตุจักร,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260505_020023\frame_000\ปทุมวัน.png,0,ปทุมวัน,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260430_130000\frame_000\วังทองหลาง.png,0,วังทองหลาง,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260505_050001\frame_009\ป้อมปราบศัตรูพ่าย.png,9,ป้อมปราบศัตรูพ่าย,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260505_040026\frame_008\บางซื่อ.png,8,บางซื่อ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260514_000023\frame_004\ป้อมปราบศัตรูพ่าย.png,4,ป้อมปราบศัตรูพ่าย,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260508_170000\frame_008\บางคอแหลม.png,8,บางคอแหลม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260520_100027\frame_000\ภาษีเจริญ.png,0,ภาษีเจริญ,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260226_170024\frame_001\คลองสาน.png,1,คลองสาน,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260314_000000\frame_008\สายไหม.png,8,สายไหม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260312_090023\frame_008\บางกอกใหญ่.png,8,บางกอกใหญ่,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260504_220025\frame_003\วัฒนา.png,3,วัฒนา,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260226_170024\frame_003\หลักสี่.png,3,หลักสี่,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260508_220024\frame_007\ดุสิต.png,7,ดุสิต,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/north/20260508_190023\frame_011\บึงกุ่ม.png,11,บึงกุ่ม,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260523_020000\frame_008\สัมพันธวงศ์.png,8,สัมพันธวงศ์,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260508_220002\frame_004\คลองสาน.png,4,คลองสาน,0.0,0.0,0,ไม่มีฝน,0
cropped_districts_by_frame/central/20260523_120002\frame_004\สายไหม.png,4,สายไหม,0.0,0.0,0,ไม่มีฝน,0
